job_title,company_name,company_locations,company_states,job_types,post_dates,salary,job_desc,job_req,skills,exp_lvl
IoT Software Developer,Inchz IoT Sdn Bhd,"Bandar Kinrara 5, Puchong.",Selangor,Full-Time,2 days ago,RM3500 - RM7500,"As a company, we are committed to taking this responsibility seriously and are seeking a dynamic candidate to join our venture as IOT Software Developer. By leveraging new technologies in the Internet of Things (IoT), RFID (Radio Frequency Identification), IR4.0 (Industry 4.0), and Information Technologies (IT), we are providing our clients with extraordinary and state of art solutions that are put together with care. This position provides you with the opportunity to explore your capability and capacity to the highest level while taking the adventurous yet joyous journey together with the vibrant and friendly team members. If you are passionate about new technologies and bold to take on dynamic working culture, consider applying to play a crucial role in shaping future technology","Candidate's Requirements:
*Candidate with the following experience will be given priority. Fresh graduates are encouraged to apply.
Bachelor’s degree in Engineering/Computer Science/Electrical/ Robotic & Mechatronics/ IT or related field.
Has a great passion for software programming
Has a good understanding of all phases of the software development lifecycle 
Has a great passion for exploring new technology and mastering it","
Critical Thinking
Independent Thinking
Analytical ",5 - 7 Years of Experience
Business Development,Fusionex,Petaling Jaya,Selangor,Full-Time,3 days ago,Undisclosed," Responsibilities: 
 Responsible to develop sales leads independently or with the team; develop sales strategies and plans; and close sales. 
 Follow up all sales opportunities and status. The BDE must be able to build value-based client relationships at all levels. 
 Manage the sales process for the portfolio of strategic opportunities to identify and closing new business. 
 To identify new areas for growth. 
 Ensure all sales opportunities are forecast and tracked. 
 To manage the client relationship management. 
 Facilitate assessment of the client’s strategy to develop high-value “breakthrough” ideas "," Diploma/ Degree in any field. 
 Prefer with relevant experience in sales or business development especially related to IT products and services would be advantage. 
 Any IT technical knowledge would be advantage. 
 Strong communication, human, negotiation and influencing skills to drive sales. 
 Excellent analytical, report-writing, communication and presentation skills. 
 Resourceful, pro-active, highly motivated and self-starter. 
 Excellent command of spoken and written English, multi languages would be advantage. 
 Flexible to travel local and overseas subject to product and market ",,2 - 11 Years of Experience
Full Stack Developer,Fusionex,Petaling Jaya,Selangor,Full-Time,,Undisclosed,"Design and implement responsive web & mobile applications from front to back using popular open source frameworks like MEAN, Ionic and Swagger.
Design and implement RESTful Web API / Services.
Apply best practices from SOLID principles and design patterns.
Participate in Agile software team practices like Scrum and Kanban.
To be involved in designing, coding, testing and deployments based on business and technical requirements.","Minimum Advance Diploma, Bachelor's Degree, Professional Degree, Master's Degree in IT/ Computer Science/ Computer engineering/ Information System or any IT related fields.
Proven hands-on experience with Javascript (preferably popular frameworks like AngularJS, React, KnockoutJS etc.), HTML5 & CSS. Please bring along your portfolio or demonstrate participation in open source repositories.
Experience developing mobile applications would be considered an advantage.
Experience with NodeJS, Swagger, MongoDB, PostgreSQL and MS SQL Server would be considered an advantage.
Preferably 2-3 years of working experience.
Candidates who are able to start work immediately will have an added advantage.",,1 - 5 Years of Experience
BUSINESS DEVELOPMENT EXECUTIVE,High Performance Individuals Sdn Bhd,Bukit Ceylon,Kuala Lumpur,Full-Time,,RM3000 - RM3700,"Work Independently
Creative
Be in charge of your bottom line
Opportunity to develop yourself
Based in KL City Center
Salary starting from RM3,000.00 + Commissions
Reporting to Senior Management","▪ Business Development experience
▪ Ability to generate revenue by identifying pain points and suggesting suitable
products or services.
▪ Neat, well-groomed appearance, professional and affable disposition
▪ Strong networking and social skills.","
Business Networking
Customer Relationship Management",1 - 3 Years of Experience
Junior Java Developer,Black Sire Technology,Mutiara Damansara,Selangor,Full-Time,a month ago,RM3500 - RM4500,"Job Responsibilities:  
The position requires strong attention to detail, operational task management and problem-solving ability. 
Build high quality product and contribute important impacts on our product roadmap planning. 
Propose and implement solutions/product with Java, SQL, Spring, Python and Shell Scripts.  
Work with backend team to build a high perform, user friendly and stable products. 
Identify root causes of issues and propose enhancement or solution. ","Requirements:
Candidate must possess or currently pursuing a Bachelor's Degree in Computer Science/Information Technology or equivalent. 
Required skill(s): Java, SQL 
Familiar with technologies Spring, JPA/Hibernate, SpringBoot, Caching, Linux, AWS, CI/CD are consider added advantage. 
Quick learner that able to pick up new technology & knowledge in a short time. 
Excellent analytical, problem solving, teamwork and communication skills. 
Required language(s): Mandarin, English. ","
Java (Programming Language)
SQL (Programming Language)
Spring Framework
Hibernate (Java)
Spring Boot",3 - 6 Years of Experience
Bueiness Development Manager,PHIPURE SDN BHD,Taman Paramount,Selangor,Full-Time,a month ago,RM5000 - RM8000,"As a Business Development Manager, your main responsibilities include identifying and pursuing new business opportunities, developing and implementing strategies to achieve sales targets, building relationships with customers and partners, collaborating with other teams within the organization, and staying up-to-date with industry trends and competitive landscape. You will also be responsible for negotiating deals, managing budgets, analyzing data and metrics, and presenting reports to senior management. To excel in this role, you should have excellent communication and interpersonal skills, strong analytical and problem-solving abilities, and a results-oriented mindset. Additionally, you should be able to work well under pressure, have a deep understanding of your industry, and possess strong leadership and management skills.","Job Scope
Identify new business opportunities and develop strategic plans to pursue them
Build and maintain strong relationships with potential and existing customers, partners, and stakeholders
Conduct market research to stay informed of industry trends and identify new growth areas
Develop and implement marketing and sales strategies to support business growth
Collaborate with cross-functional teams to ensure successful product launches and go-to-market strategies
Evaluate the effectiveness of business development and marketing strategies and make recommendations for improvement","
Strategic Thinking
Sales
Marketing Strategies
Analytical 
Communications
Leadership
Adaptability",#NoExperienceNeeded
Full Stack Developer,Zoala Malaysia Sdn Bhd,KL Gateway Mall,Kuala Lumpur,Full-Time,15 days ago,RM5000 - RM9000,"Why ZOALA? 
We, at ZOALA, are in search of a Full Stack Developer to join our fast expanding team that is set to make a difference in the mental wellness space. You will be spearheading the design, development and deployment of applications that propel ZOALA’s innovation and business objectives.
Your Daily ZOALA Experience
As a Full Stack Developer, you will be integral in:","A Degree holder (Preferably with a degree in Computer Science, or related fields).
At least 5 years of proven experience as a Full Stack Developer or similar role. 
Experienced in developing web and/or mobile applications.
Familiarity with common stacks and databases (e.g., MySQL, PostgreSQL, NoSQL).
Knowledgeable in multiple front-end languages and libraries (e..g, HTML/CSS JavaScript, XML, jQuery) as well as 
Knowledgeable in multiple back-end languages (e.g., C# or PHP, Python) and JavaScript frameworks (e.g., React, Node.js).
Experienced in CI/CD and build tools (Docker) with a solid understanding in source control (git).
Good understanding of standard software engineering methodology, e.g. unit testing, test automation, continuous integration, code reviews, design documentation.","
PHP (Scripting Language)
Laravel
JavaScript (Programming Language)",10 - 20 Years of Experience
Growth Web Developer,OpenLearning Global (M) Sdn Bhd,Remote,Kuala Lumpur,Full-Time,3 days ago,Undisclosed,"In this role, you’ll work closely with the Marketing, Product and other cross-functional units of the OpenLearning team on design and develop development initiatives on solutions.openlearning.com and other conversion funnels.
What you’ll do:
Design, build and optimise product marketing websites and landing pages (in WebFlow) 
Run growth marketing projects and sprints for optimisation (funnel optimisation, engagement, lead conversion, A/B tests)
Diagnose and solve website performance or optimisation issues","We’re looking for:
At least 2+ years of experience in website design and development in WebFlow. 
Knowledge of HTML, CSS and JavaScript as well as current accessibility, interaction and responsive design best practices 
Familiarity with SaaS platforms or education technology companies 
Familiarity with Google (Analytics, Tag Manager, Optimize) and inbound marketing/sales tools and software (including HubSpot) 
Knowledge or understanding of marketing concepts such as user journey, lead generation and conversion, and SEO 
Strong verbal and written communication skills with the ability to interpret, conceptualise and visualise briefs, ideas and feedback in line with brand vision and values ","
HyperText Markup Language (HTML)
Web Design
Cascading Style Sheets (CSS)
JavaScript (Programming Language)
Software As A Service (SaaS)
Google Analytics
Google Tag Manager
Google Optimize
Inbound Marketing
Project Management",1 - 3 Years of Experience
Full Stack Developer,BTB Technologies,Work From Home,Malacca,Full-Time,3 days ago,Undisclosed,"Produce fully functional programs based on clients' requirement
Writing clean, testable code
Collaborate & work closely with product managers, designers and developer peers.
Execute the entire development lifecycle including conception, design, testing, release & support.
Contribute to documentation (instructional, pitch and technical specification)
Perform periodical tests and debugging to maximize application efficiency
Manage projects independently or co-operate with team members to solve bigger programming problem.
Provide a creative solution to current's business requirement/problems via system planning and execution.","The Person :
Meaningful experience working on large, complex systems.
Ability to take extreme ownership over your work.
Ability to create and maintain continuous integration and delivery of applications.
A positive mindset and can-do attitude.
Required Skill(s): React/React Native or Node.js, JavaScript, HTML5, Git
Additional Preferable skills(s): AWS, NextJS","
React Native
React.js
Node.js
PHP Development
MongoDB
MySQL
Redis
Docker (Software)
Google Cloud Platform (GCP)
AWS CloudFormation",4 - 7 Years of Experience
Business Development Associate,RPG Commerce,Petaling Jaya,Selangor,Full-Time,3 days ago,RM3500 - RM6000,"Founded in 2017, RPG Commerce is a leading direct-to-consumer (DTC) social e-commerce company dedicated to building cutting-edge everyday essentials. With an in-house portfolio ranging from innovative active wear to home and living products, RPG currently carries an in-house brand portfolio of 10+ brands, including Thousand Miles, Bottoms Lab, Eubi, Montigo and Cosmic Cookware. 
Recently securing a Series B funding round of RM127 million, RPG Commerce has over 100 employees in KL, Singapore and Philippines who work everyday to develop, design and produce high-quality products all over the world. To find out more, please visit https://www.rpg.ventures/.  
About the Job","Requirements
1-3 years in sales acquisition for retail, e-commerce related verticals
Solid business acumen and sound business judgement 
Self-starter, who is able to handle multiple competing priorities and operate successfully in a complex, ambiguous, ever-changing environment
Strong verbal and written communication skills
Effective planning and organisational skills with a demonstrated ability to multi-task, prioritise, negotiate, and problem solve
Hunger spirit and willing to hustle to hit the ground running","
Business Development",4 - 10 Years of Experience
.NET Developer,FUSIONQB SDN BHD,Bangsar South,Kuala Lumpur,Full-Time,,RM4000 - RM9000,"You will play an important role to:
Be a key member of core development team
Build prototypes for presentation and demonstration
Contribute to the application design and development effort
Liaise with the senior executives and project sponsors for project requirements & deliverables
What we offer:","At least 2 Year(s) hand-on experience .NET application.
Sound knowledge of ASP.NET MVC, C#, Web API, Entity Framework, Bootstrap, Javascript, Jquery, HTML5, Git/ TFS
Experienced in writing reusable codes/library and programming exposure is added advantage
Experience in relational database, MySQL or MSSQL
Possess at least BSc. Degree in Computing/ Software Science/ Software Engineering/Mobile App development or equivalent
If you have any enquiries, feel free to reach out to us at 012-3843822 / 012-6853189 or apply here.",,8 - 10 Years of Experience
Senior Business Development Executive,HealthMetrics,Subang Jaya,Selangor,Full-Time,8 hours ago,RM3500 - RM4500,"Responsible for solution sales to the assigned industries/territory. 
Work closely with Business Development Manager to build a pipeline and strategize on how to approach targeted accounts. 
Construct and manage own sales activities and pipeline to meet revenue targets 
Support and attend client-engagement initiatives such as business events from time to time. 
Cold call as appropriate to ensure a robust pipeline of opportunities. 
Conduct demo(s) with each qualified prospect and articulate clearly HealthMetrics values and benefits. 
Identifies product improvement needs and market demand based on research and prospects’ feedback. "," Candidate must be willing to work in One City, Subang Jaya, Malaysia. 
Candidate must possess own transport for meeting clients in Klang Valley. 
Candidate must possess at least a Diploma/Degree level of education. 
Required language(s): Malay & English 
Candidate must be experienced in conducting corporate presentations (system demo experience is a plus). 
A proactive go-getter with the desire to constantly challenge oneself to be better than good to achieve excellent results. 
Preferred at least 1 year of sales experience, with a proven track record. Relevant experience in the related field is a plus. ","
B2B Advertising
Sales
Sales Prospecting
Negotiation
Consultative Selling",4 - 8 Years of Experience
Business Development Executive,Nsquared eCommerce Malaysia Sdn Bhd,Petaling Jaya,Selangor,Full-Time,3 months ago,RM3000 - RM5000,"Market Study – Identify appropriate clients to reach out to and new revenue channels to expand into through data analysis and market research.
Client Acquisition – Cold calling/emailing to identify, reach out to, negotiate and secure clients to help set up and manage their eCommerce business on Shopee and Lazada
Process Improvement – Develop new processes and SOP to improve efficiency and effectiveness of in-house verticals","Bachelor's degree in Business Administration, Marketing, Economics or Engineering is preferred
Minimum 1-2 years of working experience. Fresh graduates are recommended to apply.
Able to communicate, write and present fluently in English. The ability to converse fluently in other languages (e.g. Malay and Chinese) will be an added advantage.
Ability to demonstrate good business acumen proactive problem-solving skills to make business-critical decisions
Sound logical reasoning underpinned by ability to do comprehensive data analytics (Good competency in Microsoft Office and Google Sheets are necessary)","
Business Development
Business Acumen",4 - 7 Years of Experience
PHP Software Developer ( Hybrid ),OffGamers Sdn Bhd,Pudu / PJX Tower,Selangor,Full-Time,15 hours ago,RM4000 - RM12000,"Work closely with stakeholders, fellow engineers, designers, and software testers, convert complex requirements into elegant working applications
Propose and implement overarching system architecture, APIs, web services, robust solutions that consider scale, security, reliability and cost
Maintain new and existing services, prevent security vulnerability
Document and share best practices with engineers across the team, prepares reference for users by writing operating instructions","Candidate must possess at least a Computer Science/Information Technology Bachelor’s Degree, Professional Degree, or equivalent
Expertise in PHP, experience with at least one PHP MVC framework, e.g. Yii
Strong knowledge in MySQL, Memcached, Redis
Practical experience developing websites, portals and web-based applications with HTML, CSS, JavaScript, jQuery, Ajax, etc
Create high-quality and secure production code
High degree of ownership, attention to detail, self-motivated and disciplined, with the ability to complete assigned tasks with minimal oversight in a professional and timely manner","
Yii PHP Framework
Laravel
PHP (Scripting Language)",1 - 3 Years of Experience
Business Development Executive/ Manager,SL Information Solutions Sdn Bhd,Dataran Prima,Selangor,Full-Time,15 days ago,Undisclosed,"      JOB DETAILS
Business Development
To deliver against an annual sales margin target by ensuring the timely closure of deals through careful planning and effective communication.
To drive new business sales by selling business applications software or solutions and related services. 
To manage sales through forecasting, account strategy, and planning.","REQUIREMENTS
Possesses Diploma/ Bachelor’s Degree in business, marketing, or any related field.
At least 2 years of sales experience. With industry, focus selling is a plus point.
Able to interact with C-level players.
Proven sales track record and ability to develop new business.
Candidate with sales experience dealing with manufacturing and distribution industries will be an added advantage.
Highly developed selling, customer relationship, and negotiation skills.","
Persuasive Communication
Presentation 
Selling Techniques",3 - 6 Years of Experience
Front-End Developer (Angular),WEBQLO,Ara Damansara,Selangor,Full-Time,14 days ago,Undisclosed,"You will create and maintain efficient, reusable front-end infrastructure and components to be used for in-house and clients’ projects.

If you like to think outside the box and push the boundaries of what digital advertising can do, you might just be the perfect fit for our team.
A role at Webqlo is unlike any other. Our guys are quick on their feet, resourceful, adaptable, and learn a heck of a lot in a short amount of time. If you're looking to make an impact and get your hands dirty with a myriad of opportunities, this is the adventure for you.

A role at Webqlo is unlike any other. Our guys are quick on their feet, resourceful, adaptable and learn a heck of a lot in a short amount of time. If you're looking to make an impact and get your hands dirty with a myriad of opportunities, this is the adventure for you.","At least 3 years of working experience in website/system development with Angular.
Good knowledge of public framework such as: Angular, jQuery, Bootstrap,
Good knowledge in building large, scalable SaaS systems with good understanding of data processing architecture and associated principles.
Experience with Amazon Web Services such as EC2, RDS, S3, IaM will be added advantage.
Knowledge of additional skills such as SASS, HTML5 & CSS3 Interactive UI, JavaScript animation, SEO.
Strong problem solving and analytical skills.
Strong leadership, communication, and presentation skills.
Strong team player who is collaborative and also able to carry out tasks independently.",,#NoExperienceNeeded
Product Developer (Plant Origins),Signature Market,KL ECO CITY,Kuala Lumpur,Full-Time,2 days ago,RM2500 - RM2800,"Search and liaise with the manufacturer to launch new products for aromatherapy & personal care category.
Carry out analysis and survey to better understand the category.
Developing an understanding of natural & plant based products dynamics in the market, spotting trends to develop category strategy to grow the segment on Plant Origins, Signature Market. 
Collaborate with internal teams to develop pricing strategies, go-to-market strategies, and external outgoing customer communications. 
Identify market insights from research, customer and create market penetration plans to target the right audience for branding. ","Diploma/Degree in any Science / Marketing related studies. Preferably with experience in product development for aromatherapy and personal care products. 
Fresh graduates are welcome to apply.
Fast learner and able to adapt quickly to constant changes in operational processes.
Passionate about aromatherapy, personal care & natural products.
Creative and open towards all possibilities.
Independent, highly driven and self-motivated.",,#NoExperienceNeeded
Business Development Manager,Trinergy Digital Sdn Bhd,Hybrid,Selangor,Full-Time,a month ago,Undisclosed,"As a Business Development Manager, you will be responsible for driving growth and establishing new business relationships with key clients and partners.
Key Responsibilities:
Develop and execute a comprehensive business development strategy to achieve sales and revenue targets.
Conduct market research and analyze trends to identify new business opportunities and target markets.
Build and maintain relationships with key clients and partners, and manage the sales pipeline to ensure a consistent flow of new business.","Requirements:
Bachelor's degree in Business Administration, Marketing, or a related field.
Proven track record of successful business development and sales in a creative tech agency or similar environment.
Excellent communication and presentation skills, with the ability to effectively articulate complex solutions and proposals.
Strong interpersonal and relationship-building skills, with the ability to negotiate and close deals with clients and partners.
Ability to work independently, prioritize tasks, and manage multiple projects simultaneously in a fast-paced environment.
Familiarity with the creative tech industry and trends, with an understanding of the latest technologies and innovations.","
Business Development
Client Services
Business Relationship Management
Market Research
Presentation 
Communications
Information Technology",10 - 20 Years of Experience
Senior Web Developer,Tech Strongbox,"Level 10, Oasis Wing, Brunsfield Oasis Tower 3, No. 2, Jalan PJU 1A/7, Oasis Square, Oasis Damansara, 47301 Petaling Jaya, Selangor, Malaysia.",Selangor,Full-Time,4 days ago,RM5000 - RM8000,"We are looking for a senior web developer:
who has an insanely strong passion for web technologies & building great products that he/she will feel super proud of.
who are organized, data driven, performance & goal oriented and obsessed with optimization to making things better.
who are looking for the opportunity and support in building, leading, and managing a team of web developers.
who are actively involved in programming/building website & systems to improve his/her programming/coding knowledge & experience and able to transfer knowledge to the team.
Your job responsibilities:","Requirements for this role:
At least 3 years of experience as a web developer with at least 1 year of experience leading & managing a team of developers.
Proficient in PHP, Laravel framework, HTML, AJAX, CSS, MySQL, JavaScript, jQuery and bootstrap.
Have experience building APIs, integration between systems & deployment of web applications.
Have good knowledge & experience in front-end frameworks & development.
Have experience in building and customizing WordPress, WooCommerce & Shopify.
Familiar with Adobe Photoshop, Adobe Illustrator & Figma.
Have good understanding in project management methodologies (e.g., agile/waterfall/hybrid).","
Shopify
WooCommerce
WordPress
PHP (Scripting Language)
Laravel
Bootstrap (Front-End Framework)
Cascading Style Sheets (CSS)
Agile Software Development
Cloud Infrastructure",10 - 20 Years of Experience
React Native Developer,Snappymob,Mid Valley,Kuala Lumpur,Full-Time,4 days ago,RM5500 - RM7700,"Role

As a React Native Developer, you'll be an integral member of a software engineering team that designs and develops world-class applications with React Native. You'll be working closely with other engineers and team members to work on delightful applications and features that make a big impact on users. 

We're looking for people who share our passion for writing great software, love making use of best practices in our software development process, have fantastic attention to detail, and love to learn.","Requirements

2 or more years of experience with React Native development
A proven track record showing proficiency in React Native development
Deep understanding of core React Native development concepts, including application architectures, lifecycles, user interface layout and customization, and components. This should also include making responsive UIs to efficiently query data and also manage states in an optimized manner
Critical thinkers that are able to analyze and break down problems into manageable components",,1 - 3 Years of Experience
